date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:33:04	128880/128880	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Jul%202024%2001:32:47%20GMT	https://productosdigitalesslm.online/independenciamontessori/	C:/Users/Cintex/Desktop/e%20commerce/MktAfil/Montessori/Montessori/productosdigitalesslm.online/independenciamontessori/index.html	(from )
20:33:04	138/138	---M-Z	200	added ('OK')	text/plain	date:Fri,%2005%20Jul%202024%2001:32:48%20GMT	https://productosdigitalesslm.online/robots.txt		(from )
20:33:05	9427/9427	---M--	200	added ('OK')	image/gif	date:Mon,%2018%20Mar%202024%2002:43:38%20GMT	https://productosdigitalesslm.online/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	C:/Users/Cintex/Desktop/e%20commerce/MktAfil/Montessori/Montessori/productosdigitalesslm.online/wp-content/themes/Divi/includes/builder/styles/images/preloader.gif	(from https://productosdigitalesslm.online/independenciamontessori/)
20:33:06	20839/20839	---M-Z	200	added ('OK')	text/css	date:Wed,%2001%20May%202024%2002:58:11%20GMT	http://productosdigitalesslm.online/wp-content/cache/speedycache/productosdigitalesslm.online/assets/49x2ry4/9tl5h.css	C:/Users/Cintex/Desktop/e%20commerce/MktAfil/Montessori/Montessori/productosdigitalesslm.online/wp-content/cache/speedycache/productosdigitalesslm.online/assets/49x2ry4/9tl5h.css	(from https://productosdigitalesslm.online/independenciamontessori/)
20:33:07	2415/2415	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Apr%202024%2022:03:38%20GMT	https://productosdigitalesslm.online/wp-content/uploads/2024/04/cropped-Logo_slm-removebg-preview-32x32.png	C:/Users/Cintex/Desktop/e%20commerce/MktAfil/Montessori/Montessori/productosdigitalesslm.online/wp-content/uploads/2024/04/cropped-Logo_slm-removebg-preview-32x32.png	(from https://productosdigitalesslm.online/independenciamontessori/)
20:33:08	35873/35873	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Apr%202024%2022:03:38%20GMT	https://productosdigitalesslm.online/wp-content/uploads/2024/04/cropped-Logo_slm-removebg-preview-192x192.png	C:/Users/Cintex/Desktop/e%20commerce/MktAfil/Montessori/Montessori/productosdigitalesslm.online/wp-content/uploads/2024/04/cropped-Logo_slm-removebg-preview-192x192.png	(from https://productosdigitalesslm.online/independenciamontessori/)
20:33:08	32932/32932	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Apr%202024%2022:03:38%20GMT	https://productosdigitalesslm.online/wp-content/uploads/2024/04/cropped-Logo_slm-removebg-preview-180x180.png	C:/Users/Cintex/Desktop/e%20commerce/MktAfil/Montessori/Montessori/productosdigitalesslm.online/wp-content/uploads/2024/04/cropped-Logo_slm-removebg-preview-180x180.png	(from https://productosdigitalesslm.online/independenciamontessori/)
20:33:08	58942/58942	---M--	200	added ('OK')	image/png	date:Tue,%2030%20Apr%202024%2022:03:38%20GMT	https://productosdigitalesslm.online/wp-content/uploads/2024/04/cropped-Logo_slm-removebg-preview-270x270.png	C:/Users/Cintex/Desktop/e%20commerce/MktAfil/Montessori/Montessori/productosdigitalesslm.online/wp-content/uploads/2024/04/cropped-Logo_slm-removebg-preview-270x270.png	(from https://productosdigitalesslm.online/independenciamontessori/)
20:33:09	20965/20965	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202024%2002:41:12%20GMT	https://productosdigitalesslm.online/wp-content/et-cache/272/et-core-unified-deferred-272.min.css?ver=1717728072	C:/Users/Cintex/Desktop/e%20commerce/MktAfil/Montessori/Montessori/productosdigitalesslm.online/wp-content/et-cache/272/et-core-unified-deferred-272.mind927.css	(from https://productosdigitalesslm.online/independenciamontessori/)
20:33:10	28840/28840	---M--	200	added ('OK')	image/gif	date:Mon,%2011%20Mar%202024%2019:07:26%20GMT	https://productosdigitalesslm.online/wp-content/uploads/2024/03/oferta-precio.gif	C:/Users/Cintex/Desktop/e%20commerce/MktAfil/Montessori/Montessori/productosdigitalesslm.online/wp-content/uploads/2024/03/oferta-precio.gif	(from https://productosdigitalesslm.online/independenciamontessori/)
